datetime,european_aqi,pm10,pm2_5,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_gusts_10m,weather_code,hour,day_of_week,month,smog_risk
2022-03-30 00:00:00,64,24.6,23.1,5.4,84,0.0,0.0,16,4.0,15.8,0,0,2,3,0
2022-03-30 01:00:00,63,26.0,17.6,4.4,87,0.0,0.0,61,4.2,18.0,2,1,2,3,0
2022-03-30 02:00:00,62,26.0,16.5,3.9,86,0.0,0.0,70,8.0,18.4,2,2,2,3,0
2022-03-30 03:00:00,62,25.2,16.1,5.1,84,0.0,0.0,66,4.8,24.5,2,3,2,3,0
2022-03-30 04:00:00,61,31.2,17.2,4.7,85,0.0,0.0,100,4.8,19.4,3,4,2,3,0
2022-03-30 05:00:00,60,25.1,16.8,4.6,87,0.0,0.0,100,5.6,18.4,3,5,2,3,0
2022-03-30 06:00:00,59,27.1,17.0,4.8,88,0.0,0.0,100,5.4,21.2,3,6,2,3,0
2022-03-30 07:00:00,56,30.4,19.8,5.2,87,0.0,0.0,100,4.6,20.9,3,7,2,3,0
2022-03-30 08:00:00,54,39.2,20.6,7.5,81,0.0,0.0,100,5.0,20.5,3,8,2,3,0
2022-03-30 09:00:00,51,38.0,22.2,10.6,68,0.0,0.0,100,2.6,18.0,3,9,2,3,0
2022-03-30 10:00:00,50,38.5,20.4,12.3,60,0.0,0.0,100,2.7,16.6,3,10,2,3,0
2022-03-30 11:00:00,48,41.8,18.5,13.5,56,0.0,0.0,100,4.7,20.5,3,11,2,3,0
2022-03-30 12:00:00,46,42.9,17.8,14.9,48,0.0,0.0,100,11.9,38.9,3,12,2,3,0
2022-03-30 13:00:00,44,42.0,19.0,14.3,49,0.0,0.0,100,12.4,36.7,3,13,2,3,0
2022-03-30 14:00:00,42,43.4,18.5,14.2,50,0.1,0.0,100,14.2,36.7,51,14,2,3,0
2022-03-30 15:00:00,41,45.6,21.0,14.0,48,0.0,0.0,100,13.4,40.3,3,15,2,3,0
2022-03-30 16:00:00,40,43.2,18.6,12.8,52,0.0,0.0,100,12.7,40.0,3,16,2,3,0
2022-03-30 17:00:00,40,39.4,18.6,12.5,55,0.0,0.0,100,12.1,38.9,3,17,2,3,0
2022-03-30 18:00:00,39,35.0,18.2,11.7,61,0.0,0.0,100,10.4,38.2,3,18,2,3,0
2022-03-30 19:00:00,39,26.1,17.5,10.3,69,0.0,0.0,100,9.0,38.2,3,19,2,3,0
2022-03-30 20:00:00,38,20.5,15.1,9.2,77,0.2,0.0,100,6.6,37.1,51,20,2,3,0
2022-03-30 21:00:00,38,21.4,13.6,8.8,83,4.6,0.0,100,7.6,34.6,63,21,2,3,0
2022-03-30 22:00:00,37,17.6,12.1,8.7,87,0.3,0.0,100,5.8,34.2,51,22,2,3,0
2022-03-30 23:00:00,36,12.4,7.9,8.7,88,0.3,0.0,100,4.9,29.5,51,23,2,3,0
2022-03-31 00:00:00,35,7.4,5.8,8.8,88,0.1,0.0,100,4.9,31.3,51,0,3,3,0
2022-03-31 01:00:00,34,12.7,7.8,8.4,89,0.4,0.0,100,5.0,31.0,51,1,3,3,0
2022-03-31 02:00:00,33,9.3,5.9,9.3,89,0.3,0.0,100,5.1,26.3,51,2,3,3,0
2022-03-31 03:00:00,33,8.1,5.9,10.1,90,0.4,0.0,100,7.2,25.6,51,3,3,3,0
2022-03-31 04:00:00,31,8.1,3.7,10.2,84,0.2,0.0,100,8.7,33.8,51,4,3,3,0
2022-03-31 05:00:00,32,9.8,5.2,9.8,79,0.0,0.0,100,7.1,36.7,3,5,3,3,0
2022-03-31 06:00:00,32,9.8,4.8,9.2,82,0.1,0.0,100,6.2,34.6,51,6,3,3,0
2022-03-31 07:00:00,32,13.1,6.3,9.0,84,0.3,0.0,100,7.2,38.2,51,7,3,3,0
2022-03-31 08:00:00,31,11.2,6.6,10.5,82,0.2,0.0,100,7.1,41.4,51,8,3,3,0
2022-03-31 09:00:00,30,6.2,6.2,11.7,76,0.2,0.0,100,9.2,41.0,51,9,3,3,0
2022-03-31 10:00:00,30,6.6,4.4,11.5,81,0.8,0.0,100,12.7,54.0,53,10,3,3,0
2022-03-31 11:00:00,29,7.7,4.9,12.7,74,0.6,0.0,100,12.6,55.8,53,11,3,3,0
